Issue Type,Story ID,Summary,Description,Status,Labels,Acceptance Criteria
Story,MAE-024,Permission modes,"As a user, I want a read-only mode that denies mutating tools.",Done,"security,guardrails",`--permission-mode read-only` and `--deny-dangerous` are implemented across runtimes.
Story,MAE-025,Context budget monitoring,"As a user, I want Maestro to warn me as context usage grows.",Done,"context,budget",`ContextMonitor` tracks cumulative tokens and returns `warning`/`critical` at configured thresholds.
Story,MAE-026,Resume log generation,"As a user, I want a concise resume log when context pressure is critical.",Done,"context,session","`build_resume_log()` produces a markdown summary of progress, decisions, and next steps."
Story,MAE-027,Session resume and fork,"As a user, I want to continue or branch a previous session.",Done,"session,resume",`--resume` lists/reloads sessions; `--fork` copies a session under a new ID.
Story,MAE-028,Continuous interactive session,"As a user, I want to stay in one interactive session across multiple prompts.",Done,"interactive,ux",`maestro --interactive` runs a `while True` loop until `/exit` or Ctrl-C.
Story,MAE-029,Standard terminal line editing in interactive mode,"As a user, I want backspace and arrow keys to work normally in interactive mode.",In Progress,"interactive,ux,bug",readline is configured; reported issues with `^C` on backspace and `^[[A` on arrow keys remain.
Story,MAE-030,Progress feedback during long tasks,"As a user, I want to know what step is running while I wait.",Done,"interactive,events,ux","`ProgressIndicator` and event-bus handlers print `Thinking`, elapsed time, and step labels."
Story,MAE-031,Contextual flag inference,"As a user, I want Maestro to infer `--reasoning`/`--fast` from plain English so I do not type flags.",Done,"interactive,nlp,arbitration","`TaskProfiler.from_prompt` infers reasoning, coding strength, vision, and urgency from text."
Story,MAE-032,Dry-run and show-plan modes,"As a user, I want to inspect the execution plan before spending tokens.",Done,"interactive,planning","`--show-plan` and `/plan`/`/dry` print selected runtime, model, and agent without calling the LLM."
Story,MAE-033,Cross-agent handoff in interactive mode,"As a user, I want the PM to hand a task from a researcher to an engineer automatically.",In Progress,"orchestrator,handoff","`_run_with_handoff` exists but fails when the runtime does not support tool interception (e.g., `claude-cli`)."
Story,MAE-034,Artifact output routing to project folders,"As a user, I want generated docs to land in `docs/`, `requirements/`, `scripts/`, or `tests/`.",Done,"artifacts,project",The orchestrator instructs agents to save outputs to conventional subfolders.
Story,MAE-035,Vendor/model attribution in output,"As a user, I want to see which vendor and model produced each response.",Done,"transparency,arbitration",Each turn prints `Vendor: ... / Model: ... / Runtime: ...` at the end of output.
Story,MAE-036,Plain-English task parsing,"As a user, I want to type natural language tasks without memorizing CLI syntax.",Done,"interactive,nlp",Any non-slash input is treated as a task; flags and runtime are inferred automatically.
Story,MAE-037,Milestone schema and YAML storage,"As a user, I want milestone state stored in a project-scoped YAML file.",Done,"milestones,storage",`MilestoneStore` reads/writes `.open-maestro/milestones.yaml` with Pydantic models.
Story,MAE-038,Milestone auto-detection from artifacts,"As a user, I want Maestro to infer milestone status from existing project files.",Done,"milestones,detection","`MilestoneDetector` scans artifact patterns (docs/blueprint*, tests/fixtures/, etc.) per milestone."
Story,MAE-039,Interactive milestone slash commands,"As a user, I want `/milestones`, `/next`, `/complete`, `/blocker`, and `/track` commands.",Done,"milestones,interactive",All five slash commands are implemented and update local YAML state.
Story,MAE-040,Milestone context injection,"As a user, I want agents to know the current milestone and exit criteria.",Done,"milestones,agents","`format_prompt_context()` injects current milestone, completion, and exit criteria into prompts."
Story,MAE-041,Dashboard export (JSON/Markdown/HTML),"As a user, I want to export a client-safe progress view.",Done,"dashboard,export",`--export-dashboard json|markdown|html` writes the dashboard to stdout/file.
Story,MAE-042,Local dashboard server,"As a user, I want to serve the dashboard from Maestro for local review.",Done,"dashboard,server",`--serve-dashboard` runs an HTTP server on a configurable host/port.
Story,MAE-043,Dashboard publishing to remote receiver,"As a user, I want to publish the dashboard to `merven.ai` from the CLI.",Done,"dashboard,publish,merven",`--publish-dashboard <url>` POSTs JSON with API key and project token.
Story,MAE-044,Merven milestone sync,"As a user, I want Maestro to pull the canonical milestone plan from Merven.",Done,"milestones,merven,sync",`--sync-milestones` fetches the plan from the Merven API and overwrites local YAML.
Story,MAE-045,Dashboard styled with merven.ai design tokens,"As a user, I want the HTML dashboard to match the merven.ai brand.",Done,"dashboard,ui,branding","HTML uses `#02040b` background, `#00bfaf` accent, Inter font, gradient cards."
Story,MAE-046,Epic swimlanes with milestone Gantt charts,"As a user, I want epics as rows and their 8 milestones as Gantt bars.",Done,"dashboard,ui,milestones",Dashboard renders epic swimlanes with two rows of four milestones each.
Story,MAE-047,Dashboard color contrast,"As a user, I want completed/in-progress/blocked badges to be readable.",Done,"dashboard,ui,a11y",Status badges and Gantt bars use high-contrast solid colors and text shadows.
Story,MAE-048,Per-project dashboard,"As a user, I want each Maestro project to have its own client dashboard.",Done,"dashboard,project",Dashboard payload is keyed by project ID/token; Merven stores per-project dashboard state.
Story,MAE-049,Build wheel for team distribution,"As a team lead, I want a pre-built wheel to share with engineers.",Done,"deployment,packaging",`python -m build --wheel` produces `open_maestro-1.0.0-py3-none-any.whl`.
Story,MAE-050,Ubuntu/WSL install script,"As a team lead, I want engineers to install Maestro with one command.",Done,"deployment,install","`scripts/install-ubuntu.sh` creates venv, installs wheel, and symlinks `maestro`."
Story,MAE-051,Offline installation support,"As a user on a firewalled machine, I want to install Maestro without internet.",Done,"deployment,offline",Wheel + `pip install --no-index --find-links .` workflow documented and tested on WSL.
Story,MAE-052,Bundle kuzu-memory and mcp-vector-search in install,"As a user, I want the install script to optionally install memory/search dependencies.",Done,"deployment,offline,memory,search",`install-ubuntu.sh` supports flags/env vars for optional extras.
Story,MAE-053,Deployment documentation,"As a team lead, I want a guide for distributing Maestro to engineers.",Done,"deployment,docs","`docs/DEPLOY.md` covers wheel distribution, install script, backends, MCP, troubleshooting."
Story,MAE-054,Force-reinstall workflow,"As a user, I want a documented way to wipe and reinstall the venv while keeping config.",Done,"deployment,docs",`docs/DEPLOY.md` includes in-place upgrade and nuclear force-reinstall instructions.
